Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ologolo
3 Bedroom Semi Detached Duplex,3 BEDROOM HOUSE FOR RENT,"3,200,000/year",0,1,0,3 beds,3 baths,4 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikota
Furnished 4 Bedroom Terrace,4 BEDROOM HOUSE FOR RENT,"9,000,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Penthouse,4 BEDROOM FLAT / APARTMENT FOR RENT,"5,500,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
Boys Quarters,1 BEDROOM FLAT / APARTMENT FOR RENT,"800,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,3 beds,3 baths,4 Toilets,Lekki,Ikate
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"4,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"10,000,000/year",1,0,0,5 beds,6 baths,6 Toilets,Lekki,Ikate
4 Bedroom Semi Detached House,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,0,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,5 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,5 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
6 Bedroom Fully Detached House,6 BEDROOM HOUSE FOR RENT,"15,000,000/year",0,0,0,6 beds,7 baths,8 Toilets,Lekki,Lekki Phase 1
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Osapa London
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"3,000,000/year",0,1,0,3 beds,4 baths,4 Toilets,Lekki,Ologolo
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Newly Built 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",0,1,0,3 beds,3 baths,4 Toilets,Lekki,Ikota
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
3 Bedroom Duplex,3 BEDROOM HOUSE FOR RENT,"2,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,HOUSE FOR RENT,"6,000,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"6,000,000/year",1,0,0,3 beds,4 baths,4 Toilets,Lekki,Lekki Phase 1
2 Bedroom Fully Furnished Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
Nicely Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,200,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",0,1,0,3 beds,3 baths,4 Toilets,Lekki,Ikate
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Osapa London
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"10,000,000/year",1,0,1,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
