Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
Lovely 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Agungi
1 Bedroom Flat,1 BEDROOM HOUSE FOR RENT,"2,000,000/year",0,1,0,1 beds,2 baths,2 Toilets,Lekki,Other Lekki
Lovely Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Portable Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,500,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Spacious Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,1 beds,1 baths,2 Toilets,Lekki,Lekki Phase 1
Furnished Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,700,000/year",1,0,1,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
Office Space,5 BEDROOM CO WORKING SPACE FOR RENT,"6,500/day",1,0,1,5 beds,5 baths,6 Toilets,Lekki,Lekki Phase 1
Room Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"900,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Decent Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"750,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
4 Bedroom Apartment,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,0,0,5 beds,5 baths,6 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,0,1,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
5 Bedroom Duplex,5 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,0,0,5 beds,5 baths,6 Toilets,Lekki,Other Lekki
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,800,000/year",1,1,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
Brand New 4 Bedroom Terrace Duplex,HOUSE FOR RENT,"4,500,000/year",1,1,0, beds, baths, Toilets,Lekki,Chevron
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"3,300,000/year",1,1,0,1 beds,1 baths,2 Toilets,Lekki,Lekki Phase 1
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,0,0,4 beds,4 baths,4 Toilets,Lekki,Osapa London
4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
2bedroom Apartment,FLAT / APARTMENT FOR RENT,"4,000,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Ikate
2 Bedroom Flat,FLAT / APARTMENT FOR RENT,"3,200,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Osapa London
Brand New 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,1,0,4 beds,4 baths,4 Toilets,Lekki,Chevron
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,700,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
Restaurant,1 BEDROOM COMMERCIAL PROPERTY FOR RENT,"3,000,000/year",0,0,1,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
4 Bedroom Terrace House,HOUSE FOR RENT,"5,250,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Ikate
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,200,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
One Bedroom Duplex,1 BEDROOM FLAT / APARTMENT FOR RENT,"750,000/year",1,0,1,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Brand New 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,"2,800,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
Furnished Apartment,HOUSE FOR RENT,"850,000/month",1,0,1, beds, baths, Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,900,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,0,0,4 beds,4 baths,4 Toilets,Lekki,Chevron
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"8,500,000/year",1,0,0,4 beds,4 baths,4 Toilets,Lekki,Ikate
Luxury 4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,0 Toilets,Lekki,Chevron
Lovely Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,700,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,0 baths,5 Toilets,Lekki,Chevron
2 Bedroom Flat,2 BEDROOM COMMERCIAL PROPERTY FOR RENT,"3,000,000/year",1,0,0,2 beds,2 baths,2 Toilets,Lekki,Lekki Phase 1
Spacious Room And Parlor Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,000,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Decent Room Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,000,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",1,0,1,3 beds,4 baths,4 Toilets,Lekki,Osapa London
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
Lovely 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
Serviced 3 Bedroom Duplex,3 BEDROOM HOUSE FOR RENT,"2,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
Fully Detached 5 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",1,1,0,4 beds,4 baths,3 Toilets,Lekki,Ikota
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,0,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,600,000/year",1,1,0,1 beds,1 baths,1 Toilets,Lekki,Ikate
Spacious 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,2 beds,2 baths,2 Toilets,Lekki,Ikate
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
Luxury 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,1,0,4 beds,4 baths,4 Toilets,Lekki,Ikota
3 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Duplex,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4bedroom Semi Detached House,HOUSE FOR RENT,"7,000,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Chevron
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,1,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
8 Bedroom Building,8 BEDROOM COMMERCIAL PROPERTY FOR RENT,"18,000,000/year",0,0,0,8 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"700,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"85,000,000/year",1,1,0,3 beds,3 baths,3 Toilets,Lekki,Ikate
Decent 1 Room And Parlor,1 BEDROOM FLAT / APARTMENT FOR RENT,"900,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,400,000/year",1,1,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,000,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Chevron
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"750,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,0,0,4 beds,4 baths,4 Toilets,Lekki,Other Lekki
Specious 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
Clean 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,4 baths,4 Toilets,Lekki,Ikota
4 Bedroom Duplex,HOUSE FOR RENT,"5,000,000/year",1,0,0,0 beds,0 baths,0 Toilets,Lekki,Chevron
A Room Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"700,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Furnished Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",1,0,1,1 beds,1 baths,2 Toilets,Lekki,Lekki Phase 1
Decent 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
2 Bedroom Apartment Upstairs With 2 Balconies,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",1,0,0,2 beds,2 baths,2 Toilets,Lekki,Lekki Phase 1
Self Contain Upstairs,1 BEDROOM FLAT / APARTMENT FOR RENT,"700,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",0,0,0,3 beds,3 baths,3 Toilets,Lekki,Ikate
2 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,000,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Ikota
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,200,000/year",0,0,0,2 beds,2 baths,2 Toilets,Lekki,Ikota
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,700,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"9,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"6,000,000/year",1,0,1,2 beds,2 baths,0 Toilets,Lekki,Lekki Phase 1
24 Units Of 3 Bedroom Flats Each With A Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
10 Units Of 2 Bedroom Flats Each With A Bq,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,200,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
6 Units Of Newly Built 4 Bedroom Townhouses,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"5,000,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached House,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikota
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"1,800,000/year",0,0,0,3 beds,2 baths,2 Toilets,Lekki,Chevron
Brand New 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,300,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"1,800,000/day",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,600,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Other Lekki
Room And Palor,1 BEDROOM FLAT / APARTMENT FOR RENT,"900,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Chevron
Studio Apartment,FLAT / APARTMENT FOR RENT,"1,200,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
4 Bedroom Apartment,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,000,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Other Lekki
3 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
Room Self Contain,FLAT / APARTMENT FOR RENT,"950,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Ikate
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
Studio Apartment,HOUSE FOR RENT,"800,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
Studio Apartment,FLAT / APARTMENT FOR RENT,"1,300,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"9,000,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"170,000/year",0,1,1,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"270,000/year",0,1,1,1 beds,1 baths,2 Toilets,Lekki,Other Lekki
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"1,380,000/year",0,0,0,4 beds,5 baths,5 Toilets,Lekki,Other Lekki
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"1,800,000/year",1,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
3 Unit Of 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
2 Units For 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"8,000,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
2 Bedroom Penthouse,2 BEDROOM FLAT / APARTMENT FOR RENT,"5,000,000/year",0,0,0,2 beds, baths, Toilets,Lekki,Lekki Phase 1
Standard Self Contain,FLAT / APARTMENT FOR RENT,"1,300,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
1 Bedroom Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,600,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Chevron
Boy Quarter,1 BEDROOM FLAT / APARTMENT FOR RENT,"900,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Ikate
Mini Flat Igando,1 BEDROOM FLAT / APARTMENT FOR RENT,"400,000/year",0,1,1,1 beds,1 baths,2 Toilets,Lekki,Other Lekki
2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Osapa London
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,0,0,4 beds,0 baths,0 Toilets,Lekki,Ologolo
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
3 Bedroom Terrace House,3 BEDROOM HOUSE FOR RENT,"1,800,000/year",0,0,0,3 beds,0 baths,0 Toilets,Lekki,Other Lekki
Brand New Room And Parlor Self Contained,1 BEDROOM FLAT / APARTMENT FOR RENT,"1,500,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Ologolo
3 Bedroom Bungalow,3 BEDROOM HOUSE FOR RENT,"2,200,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
Sharp 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",0,0,0,2 beds,0 baths,0 Toilets,Lekki,Lekki Phase 1
Sharp 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,600,000/year",0,0,0,2 beds,0 baths,0 Toilets,Lekki,Osapa London
2 Units Of 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"10,000,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
Spacious 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"850,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
3 Bedroom Bungalow,3 BEDROOM HOUSE FOR RENT,"2,200,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"15,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
Well Maintained 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"850,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
Newly Renovated 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",0,0,0,2 beds,2 baths,2 Toilets,Lekki,Other Lekki
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,200,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Osapa London
Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,800,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Lovely 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Ologolo
Spacious Room Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"700,000/year",0,0,0,1 beds,1 baths, Toilets,Lekki,Other Lekki
4 Unit 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"10,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"850,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Other Lekki
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,0,0,4 beds,4 baths,4 Toilets,Lekki,Osapa London
2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"40,000,000/year",1,1,1,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,0,0,5 beds,5 baths,5 Toilets,Lekki,Ikate
Block Of 2 Bedroom Flat,2 BEDROOM HOUSE FOR RENT,"40,000,000/year",1,1,1,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,"650,000/year",0,0,0,1 beds,1 baths,1 Toilets,Lekki,Lekki Phase 1
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",0,1,0,3 beds,4 baths,4 Toilets,Lekki,Ologolo
Shared Apartment,1 BEDROOM FLAT / APARTMENT FOR RENT,"750,000/year",1,0,0,1 beds,1 baths,1 Toilets,Lekki,Other Lekki
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"1,800,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Ologolo
5 Bedroom Fully Furnished Duplex,5 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,0,1,5 beds,5 baths,6 Toilets,Lekki,Ikota
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,800,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
2 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"3,700,000/year",1,0,1,3 beds,3 baths,4 Toilets,Lekki,Other Lekki
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,500,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Osapa London
Brand New 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"2,000,000/year",1,1,0,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
3 Bedroom Flat,3 BEDROOM HOUSE FOR RENT,"2,500,000/year",0,0,0,3 beds,4 baths,4 Toilets,Lekki,Ikota
Standard Studio Apartment,HOUSE FOR RENT,"1,200,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
One Room Self Contain,FLAT / APARTMENT FOR RENT,"500,000/year",0,0,0,0 beds,0 baths,0 Toilets,Lekki,Other Lekki
3 Bedroom Duplex,3 BEDROOM HOUSE FOR RENT,"4,800,000/year",1,1,0,3 beds,0 baths,0 Toilets,Lekki,Agungi
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,"10,000,000/year",0,1,0,5 beds,5 baths,6 Toilets,Lekki,Other Lekki
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"20,000,000/year",1,1,0,5 beds,5 baths,6 Toilets,Lekki,Osapa London
Luxury 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"2,300,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Ikota
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"6,500,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"8,000,000/year",0,0,0,2 beds,2 baths,3 Toilets,Lekki,Lekki Phase 1
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR RENT,"7,500,000",0,0,1,5 beds, baths, Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
3 Bedroom Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,0,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
Serviced Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,800,000/year",0,1,0,1 beds,1 baths,2 Toilets,Lekki,Ikate
